id,name,elo,wins,losses,draws,previousRank,currentStreakType,currentStreakLength
0184559c-9a92-48ba-b0ff-211f61c50e7e,Alpha,1233,11,9,3,2,W,1
b1722729-fa7f-415b-8fbb-9daf81d2f969,Hey,1213,8,10,6,5,L,1
3b1c15c4-1ae3-43b8-87fb-b59c4702a9b8,Yoo,1177,8,12,6,8,L,1
33848b60-1253-4ecd-b1de-69685ae7e14f,Pierre,1104,7,9,4,9,L,5
a0fb519b-85d1-4b8d-a795-ade15cb01c1a,Matt,1232,8,7,3,3,W,2
4ef2a997-9dc2-49ee-9a9e-87ef3fa88d97,Yannick,1220,10,10,3,4,L,1
gp-6Ms6lVBA,Jean-claude,1206,7,4,7,6,L,1
gp-vKBQj5ap,Alex,1180,10,9,0,7,L,2
gp-RfLHO3Ci,Caroline,1235,1,0,0,1,W,1
